,#,name,distributor_full_name,release_date,genre,runtime,rating,budget,rest_world,studio,total_gross,theaters_total,opening,theaters_opening,open_date,close_date
0,1,Black Panther,Buena Vista,"February 16, 2018",Action / Adventure,2 hrs. 20 min.,PG-13,N/A,"$646,853,595",BV,"$700,059,566","4,084","$202,003,951","4,020",2/16,8/9
1,2,Avengers: Infinity War,Buena Vista,"April 27, 2018",Action / Adventure,2 hrs. 36 min.,PG-13,N/A,"$1,369,544,272",BV,"$678,815,482","4,474","$257,698,183","4,474",4/27,9/13
2,3,Incredibles 2,Buena Vista,"June 15, 2018",Animation,1 hrs. 58 min.,PG,N/A,"$634,223,615",BV,"$608,581,744","4,410","$182,687,905","4,410",6/15,12/13
3,4,Jurassic World: Fallen Kingdom,Universal,"June 22, 2018",Action / Adventure,2 hrs. 8 min.,PG-13,$170 million,"$891,764,701",Uni.,"$417,719,760","4,485","$148,024,610","4,475",6/22,10/4
4,5,Aquaman,Warner Bros.,"December 21, 2018",Action / Adventure,2 hrs. 19 min.,PG-13,N/A,"$812,700,000",WB,"$335,061,807","4,184","$67,873,522","4,125",12/21,4/4
5,6,Deadpool 2,Fox,"May 18, 2018",Action,1 hrs. 59 min.,R,$110 million,"$460,455,185",Fox,"$318,491,426","4,349","$125,507,153","4,349",5/18,10/18
6,7,Dr. Seuss' The Grinch (2018),Universal,"November 9, 2018",Animation,1 hrs. 30 min.,PG,$75 million,"$240,973,508",Uni.,"$270,620,950","4,141","$67,572,855","4,141",11/9,2/14
7,8,Mission: Impossible - Fallout,Paramount,"July 27, 2018",Action,2 hrs. 27 min.,PG-13,$178 million,"$570,956,000",Par.,"$220,159,104","4,395","$61,236,534","4,386",7/27,10/18
8,9,Ant-Man and the Wasp,Buena Vista,"July 6, 2018",Action,1 hrs. 58 min.,PG-13,N/A,"$406,025,399",BV,"$216,648,740","4,206","$75,812,205","4,206",7/6,11/1
9,10,Bohemian Rhapsody,Fox,"November 2, 2018",Drama,2 hrs. 14 min.,PG-13,$52 million,"$687,227,217",Fox,"$216,428,042","4,000","$51,061,119","4,000",11/2,4/25
10,11,A Star is Born (2018),Warner Bros.,"October 5, 2018",Music Drama,2 hrs. 16 min.,R,$36 million,"$218,900,000",WB,"$215,288,866","3,904","$42,908,051","3,686",10/5,4/4
11,12,Solo: A Star Wars Story,Buena Vista,"May 25, 2018",Action / Adventure,2 hrs. 15 min.,PG-13,$275 million,"$179,157,295",BV,"$213,767,512","4,381","$84,420,489","4,381",5/25,9/20
12,13,Venom (2018),Sony / Columbia,"October 5, 2018",Action,1 hrs. 52 min.,PG-13,$100 million,"$641,498,448",Sony,"$213,515,506","4,250","$80,255,756","4,250",10/5,1/24
13,14,Ralph Breaks the Internet,Buena Vista,"November 21, 2018",Animation,1 hrs. 52 min.,PG,$175 million,"$328,069,706",BV,"$201,091,711","4,017","$56,237,634","4,017",11/21,4/11
14,15,Spider-Man: Into The Spider-Verse,Sony / Columbia,"December 14, 2018",Animation,1 hrs. 57 min.,PG,$90 million,"$185,198,765",Sony,"$190,241,310","3,813","$35,363,376","3,813",12/14,4/4
15,16,A Quiet Place,Paramount,"April 6, 2018",Horror Thriller,1 hrs. 35 min.,PG-13,$17 million,"$152,915,000",Par.,"$188,024,361","3,808","$50,203,562","3,508",4/6,8/2
16,17,Crazy Rich Asians,Warner Bros.,"August 15, 2018",Romantic Comedy,2 hrs. 0 min.,PG-13,$30 million,"$64,000,000",WB,"$174,532,921","3,865","$26,510,140","3,384",8/15,1/10
17,18,Mary Poppins Returns,Buena Vista,"December 19, 2018",Musical,2 hrs. 10 min.,PG,$130 million,"$177,523,973",BV,"$171,958,438","4,090","$23,523,121","4,090",12/19,4/11
18,19,Hotel Transylvania 3: Summer Vacation,Sony / Columbia,"July 13, 2018",Animation,1 hrs. 37 min.,PG,$80 million,"$361,073,758",Sony,"$167,510,016","4,267","$44,076,225","4,267",7/13,11/29
19,20,Fantastic Beasts: The Crimes of Grindelwald,Warner Bros.,"November 16, 2018",Fantasy,2 hrs. 14 min.,PG-13,$200 million,"$494,100,000",WB,"$159,555,901","4,163","$62,163,104","4,163",11/16,2/21
20,21,Halloween (2018),Universal,"October 19, 2018",Horror,1 hrs. 49 min.,R,$10 million,"$96,135,353",Uni.,"$159,342,015","3,990","$76,221,545","3,928",10/19,1/3
21,22,The Meg,Warner Bros.,"August 10, 2018",Sci-Fi Thriller,1 hrs. 53 min.,PG-13,$130 million,"$384,800,000",WB,"$145,443,742","4,118","$45,402,195","4,118",8/10,11/1
22,23,Ocean's 8,Warner Bros.,"June 8, 2018",Action / Adventure,1 hrs. 50 min.,PG-13,$70 million,"$157,500,000",WB,"$140,218,711","4,145","$41,607,378","4,145",6/8,9/20
23,24,Ready Player One,Warner Bros.,"March 29, 2018",Sci-Fi Action,2 hrs. 20 min.,PG-13,$175 million,"$445,200,000",WB,"$137,690,172","4,234","$41,764,050","4,234",3/29,7/5
24,25,Bumblebee,Paramount,"December 21, 2018",Sci-Fi Action,1 hrs. 54 min.,PG-13,$135 million,"$340,794,056",Par.,"$127,195,589","3,597","$21,654,047","3,550",12/21,3/7
25,26,Mamma Mia! Here We Go Again,Universal,"July 20, 2018",Musical,1 hrs. 54 min.,PG-13,$75 million,"$274,392,722",Uni.,"$120,634,935","3,514","$34,952,180","3,317",7/20,10/11
26,27,The Nun,Warner Bros. (New Line),"September 7, 2018",Horror,1 hrs. 36 min.,R,$22 million,"$248,100,000",WB (NL),"$117,450,119","3,876","$53,807,379","3,876",9/7,11/22
27,28,Creed II,MGM,"November 21, 2018",Sports Drama,1 hrs. 57 min.,PG-13,$50 million,"$98,300,000",MGM,"$115,715,889","3,752","$35,574,710","3,441",11/21,3/21
28,29,Peter Rabbit,Sony / Columbia,"February 9, 2018",Family,1 hrs. 33 min.,PG,$50 million,"$236,013,009",Sony,"$115,253,424","3,725","$25,010,928","3,725",2/9,6/14
29,30,The Mule,Warner Bros.,"December 14, 2018",Crime Drama,1 hrs. 56 min.,R,$50 million,"$68,700,000",WB,"$103,804,407","3,329","$17,509,431","2,588",12/14,3/14
30,31,The Equalizer 2,Sony / Columbia,"July 20, 2018",Thriller,2 hrs. 1 min.,R,$62 million,"$88,315,795",Sony,"$102,084,362","3,388","$36,011,640","3,388",7/20,9/20
31,32,Rampage (2018),Warner Bros. (New Line),"April 13, 2018",Action / Adventure,1 hrs. 47 min.,PG-13,$120 million,"$327,000,000",WB (NL),"$101,028,233","4,115","$35,753,093","4,101",4/13,7/26
32,33,A Wrinkle in Time,Buena Vista,"March 9, 2018",Fantasy,1 hrs. 55 min.,PG,N/A,"$32,197,256",BV,"$100,478,608","3,980","$33,123,609","3,980",3/9,7/5
