name,distributor_full_name,release_date,genre,runtime,rating,budget,rest_world,studio,total_gross,theaters_total,opening,theaters_opening,open_date,close_date,days_in_theaters,imdb_rating,directors,cinemascore_name,cinemascore_rating,RT_name,RT_rating,is_Action,is_Animation,is_Drama,is_Horror,is_Comedy,is_Adventure,is_Music,is_Sci-Fi,is_Thriller,is_Documentary,is_Romance,is_Fantasy,studio_uni,studio_WB,studio_Fox,studio_Sony,studio_STX,studio_LGF,studio_BV,studio_Focus,studio_Fathom,studio_Magn,studio_IFC,studio_WGUSA,studio_KL,rating_G,rating_Not Yet Rated,rating_PG,rating_PG-13,rating_R,rating_Unknown,rating_Unrated,CS_rating_A,CS_rating_A+,CS_rating_A-,CS_rating_B,CS_rating_B+,CS_rating_B-,CS_rating_C,CS_rating_C+,CS_rating_C-,CS_rating_D+,CS_rating_D-
Black Panther,Buena Vista,"February 16, 2018",Action / Adventure,140.0,PG-13,,646853595,BV,700059566.0,4084,202003951,4084,2/16,8/9,174.0,7.3,Ryan Coogler,BLACK PANTHER (2018),A+,Black Panther,97.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Avengers: Infinity War,Buena Vista,"April 27, 2018",Action / Adventure,156.0,PG-13,,1369544272,BV,678815482.0,4474,257698183,4474,4/27,9/13,139.0,8.5,Anthony Russo & Joe Russo,AVENGERS: INFINITY WAR (2018),A,Avengers: Infinity War,85.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Incredibles 2,Buena Vista,"June 15, 2018",Animation,118.0,PG,,634223615,BV,608581744.0,4410,182687905,4410,6/15,12/13,181.0,7.7,Brad Bird,"INCREDIBLES 2, THE (2018)",A+,Incredibles 2,94.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Jurassic World: Fallen Kingdom,Universal,"June 22, 2018",Action / Adventure,128.0,PG-13,170.0,891764701,Uni.,417719760.0,4485,148024610,4485,6/22,10/4,104.0,6.2,J.A. Bayona,JURASSIC WORLD: FALLEN KINGDOM (2018),A-,Jurassic World: Fallen Kingdom,48.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Aquaman,Warner Bros.,"December 21, 2018",Action / Adventure,139.0,PG-13,,812700000,WB,335061807.0,4184,67873522,4184,12/21,4/4,104.0,7.1,James Wan,AQUAMAN (2018),A-,Aquaman,65.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Deadpool 2,Fox,"May 18, 2018",Action,119.0,R,110.0,460455185,Fox,318491426.0,4349,125507153,4349,5/18,10/18,153.0,7.8,David Leitch,DEADPOOL 2 (2018),A,Deadpool 2,83.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Dr. Seuss' The Grinch (2018),Universal,"November 9, 2018",Animation,90.0,PG,75.0,240973508,Uni.,270620950.0,4141,67572855,4141,11/9,2/14,97.0,6.3,Yarrow Cheney & Scott Mosier,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mission: Impossible - Fallout,Paramount,"July 27, 2018",Action,147.0,PG-13,178.0,570956000,Par.,220159104.0,4395,61236534,4395,7/27,10/18,83.0,7.8,Christopher McQuarrie,MISSION: IMPOSSIBLE - FALLOUT (2018),A,Mission: Impossible - Fallout,97.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ant-Man and the Wasp,Buena Vista,"July 6, 2018",Action,118.0,PG-13,,406025399,BV,216648740.0,4206,75812205,4206,7/6,11/1,118.0,7.1,Peyton Reed,ANT-MAN AND THE WASP (2018),A-,Ant-Man and the Wasp,88.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bohemian Rhapsody,Fox,"November 2, 2018",Drama,134.0,PG-13,52.0,687227217,Fox,216428042.0,4000,51061119,4000,11/2,4/25,174.0,8.1,Bryan Singer,BOHEMIAN RHAPSODY (2018),A,Bohemian Rhapsody,61.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
